"Title: Number of Deaths Due to Injury by Firearms per 100,000 Population | The Henry J. Kaiser Family Foundation"
"Timeframe: 2007"
"Location","Firearms Death Rate per 100,000"
"United States","10.3"
"Alabama","17.3"
"Alaska","18.1"
"Arizona","15.4"
"Arkansas","15.1"
"California","8.9"
"Colorado","10.4"
"Connecticut","4.1"
"Delaware","8.9"
"District of Columbia","21.6"
"Florida","12.1"
"Georgia","13.5"
"Hawaii","2.5"
"Idaho","12.7"
"Illinois","8.1"
"Indiana","10.5"
"Iowa","5"
"Kansas","10.4"
"Kentucky","14.2"
"Louisiana","19.9"
"Maine","7.6"
"Maryland","12.1"
"Massachusetts","3.6"
"Michigan","11"
"Minnesota","6.5"
"Mississippi","18.3"
"Missouri","12.8"
"Montana","13.7"
"Nebraska","7.9"
"Nevada","15.9"
"New Hampshire","5.6"
"New Jersey","5.2"
"New Mexico","14.9"
"New York","5.1"
"North Carolina","12.2"
"North Dakota","8.4"
"Ohio","9.6"
"Oklahoma","13.2"
"Oregon","9.9"
"Pennsylvania","10.5"
"Rhode Island","3.4"
"South Carolina","13.1"
"South Dakota","6.2"
"Tennessee","14.8"
"Texas","10.9"
"Utah","10.7"
"Vermont","8.2"
"Virginia","10.4"
"Washington","8.3"
"West Virginia","14.1"
"Wisconsin","8.6"
"Wyoming","14.7"

"Notes"
"Age-adjusted rates per 100,000 U.S. standard population. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to firearm mortality include ICD-10 Codes W32-W34, Accidental discharge of firearm; Codes X72-X74, Intentional self-harm by firearm; X93-X95, Assault by firearm; Y22-Y24, Firearm discharge, undetermined intent; and Y35.0, Legal intervention involving firearm discharge. Deaths from injury by firearms exclude deaths due to explosives and other causes indirectly related to firearms."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2017 on [CDC WONDER Online Database](http://wonder.cdc.gov/), released 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on February 8, 2019."


