"Title: Number of Deaths Due to Injury by Firearms per 100,000 Population | The Henry J. Kaiser Family Foundation"
"Timeframe: 2012"
"Location","Firearms Death Rate per 100,000"
"United States","10.5"
"Alabama","17.1"
"Alaska","17.8"
"Arizona","14.1"
"Arkansas","16.6"
"California","7.9"
"Colorado","12.6"
"Connecticut","6.4"
"Delaware","10.5"
"District of Columbia","9.4"
"Florida","12.2"
"Georgia","12.8"
"Hawaii","3.4"
"Idaho","13"
"Illinois","9.1"
"Indiana","12.2"
"Iowa","7"
"Kansas","13.1"
"Kentucky","14.8"
"Louisiana","18.5"
"Maine","9"
"Maryland","9.9"
"Massachusetts","3.4"
"Michigan","12.3"
"Minnesota","6.9"
"Mississippi","18.3"
"Missouri","14.6"
"Montana","16.6"
"Nebraska","9.1"
"Nevada","12.8"
"New Hampshire","8.1"
"New Jersey","5.1"
"New Mexico","15.5"
"New York","4.8"
"North Carolina","11.8"
"North Dakota","10.5"
"Ohio","10.9"
"Oklahoma","16.3"
"Oregon","10.8"
"Pennsylvania","11.2"
"Rhode Island","4.1"
"South Carolina","15.3"
"South Dakota","9.5"
"Tennessee","15"
"Texas","10.7"
"Utah","12.4"
"Vermont","8.7"
"Virginia","10.1"
"Washington","9.6"
"West Virginia","14.9"
"Wisconsin","8.3"
"Wyoming","20.1"

"Notes"
"Age-adjusted rates per 100,000 U.S. standard population. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to firearm mortality include ICD-10 Codes W32-W34, Accidental discharge of firearm; Codes X72-X74, Intentional self-harm by firearm; X93-X95, Assault by firearm; Y22-Y24, Firearm discharge, undetermined intent; and Y35.0, Legal intervention involving firearm discharge. Deaths from injury by firearms exclude deaths due to explosives and other causes indirectly related to firearms."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2017 on [CDC WONDER Online Database](http://wonder.cdc.gov/), released 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on February 8, 2019."


