"Title: Number of Deaths Due to Injury by Firearms per 100,000 Population | The Henry J. Kaiser Family Foundation"
"Timeframe: 2003"
"Location","Firearms Death Rate per 100,000"
"United States","10.3"
"Alabama","16.9"
"Alaska","19.5"
"Arizona","15.4"
"Arkansas","15.1"
"California","9.8"
"Colorado","11.2"
"Connecticut","4.4"
"Delaware","7.9"
"District of Columbia","26"
"Florida","11.1"
"Georgia","13.8"
"Hawaii","2.9"
"Idaho","12.4"
"Illinois","9"
"Indiana","11.2"
"Iowa","7"
"Kansas","11.1"
"Kentucky","13.4"
"Louisiana","18.7"
"Maine","6"
"Maryland","11.9"
"Massachusetts","3.1"
"Michigan","10.3"
"Minnesota","6.5"
"Mississippi","16.8"
"Missouri","11.5"
"Montana","15.6"
"Nebraska","7.6"
"Nevada","17.1"
"New Hampshire","6.8"
"New Jersey","5.4"
"New Mexico","17.5"
"New York","5.3"
"North Carolina","12.4"
"North Dakota","8.9"
"Ohio","8.1"
"Oklahoma","12.8"
"Oregon","10.7"
"Pennsylvania","9.9"
"Rhode Island","3.1"
"South Carolina","14.2"
"South Dakota","9.9"
"Tennessee","14.2"
"Texas","11.2"
"Utah","10.5"
"Vermont","7.6"
"Virginia","10.9"
"Washington","9.2"
"West Virginia","14.1"
"Wisconsin","8.4"
"Wyoming","17.5"

"Notes"
"Age-adjusted rates per 100,000 U.S. standard population. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to firearm mortality include ICD-10 Codes W32-W34, Accidental discharge of firearm; Codes X72-X74, Intentional self-harm by firearm; X93-X95, Assault by firearm; Y22-Y24, Firearm discharge, undetermined intent; and Y35.0, Legal intervention involving firearm discharge. Deaths from injury by firearms exclude deaths due to explosives and other causes indirectly related to firearms."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2017 on [CDC WONDER Online Database](http://wonder.cdc.gov/), released 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on February 8, 2019."


