"Title: Number of Deaths Due to Injury by Firearms per 100,000 Population | The Henry J. Kaiser Family Foundation"
"Timeframe: 2010"
"Location","Firearms Death Rate per 100,000"
"United States","10.1"
"Alabama","16.2"
"Alaska","20.4"
"Arizona","14.6"
"Arkansas","14.4"
"California","7.7"
"Colorado","10.8"
"Connecticut","5.9"
"Delaware","9.9"
"District of Columbia","14.2"
"Florida","11.5"
"Georgia","12.6"
"Hawaii","3.2"
"Idaho","12.8"
"Illinois","8.2"
"Indiana","10.8"
"Iowa","6.8"
"Kansas","10.5"
"Kentucky","12.4"
"Louisiana","19.2"
"Maine","7.9"
"Maryland","9.3"
"Massachusetts","4.1"
"Michigan","11"
"Minnesota","6.8"
"Mississippi","16.1"
"Missouri","14"
"Montana","15.4"
"Nebraska","8.2"
"Nevada","14.5"
"New Hampshire","8.2"
"New Jersey","5.2"
"New Mexico","14.9"
"New York","5.1"
"North Carolina","11.6"
"North Dakota","9.5"
"Ohio","9.9"
"Oklahoma","14.4"
"Oregon","11.4"
"Pennsylvania","10.1"
"Rhode Island","4.6"
"South Carolina","14"
"South Dakota","9.2"
"Tennessee","14.4"
"Texas","11"
"Utah","12.2"
"Vermont","10.3"
"Virginia","10.8"
"Washington","8.9"
"West Virginia","14.1"
"Wisconsin","8.6"
"Wyoming","15.6"

"Notes"
"Age-adjusted rates per 100,000 U.S. standard population. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to firearm mortality include ICD-10 Codes W32-W34, Accidental discharge of firearm; Codes X72-X74, Intentional self-harm by firearm; X93-X95, Assault by firearm; Y22-Y24, Firearm discharge, undetermined intent; and Y35.0, Legal intervention involving firearm discharge. Deaths from injury by firearms exclude deaths due to explosives and other causes indirectly related to firearms."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2017 on [CDC WONDER Online Database](http://wonder.cdc.gov/), released 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on February 8, 2019."


