"Title: Number of Deaths Due to Injury by Firearms per 100,000 Population | The Henry J. Kaiser Family Foundation"
"Timeframe: 2008"
"Location","Firearms Death Rate per 100,000"
"United States","10.3"
"Alabama","17.3"
"Alaska","21"
"Arizona","14.4"
"Arkansas","15.5"
"California","8.5"
"Colorado","10.4"
"Connecticut","5.6"
"Delaware","10.7"
"District of Columbia","20.1"
"Florida","12.2"
"Georgia","12.5"
"Hawaii","3"
"Idaho","11.5"
"Illinois","8.6"
"Indiana","11.2"
"Iowa","7.3"
"Kansas","9.7"
"Kentucky","13.3"
"Louisiana","18.4"
"Maine","8.5"
"Maryland","11.6"
"Massachusetts","3.4"
"Michigan","10.9"
"Minnesota","7"
"Mississippi","19.3"
"Missouri","13.8"
"Montana","15.7"
"Nebraska","8.3"
"Nevada","15.1"
"New Hampshire","6.7"
"New Jersey","5"
"New Mexico","14.7"
"New York","4.9"
"North Carolina","12.4"
"North Dakota","8.5"
"Ohio","9.7"
"Oklahoma","14"
"Oregon","9.7"
"Pennsylvania","10.5"
"Rhode Island","3.9"
"South Carolina","13.3"
"South Dakota","10.6"
"Tennessee","15.5"
"Texas","10.8"
"Utah","9.7"
"Vermont","8.1"
"Virginia","10.2"
"Washington","8.7"
"West Virginia","12.6"
"Wisconsin","7.7"
"Wyoming","16.8"

"Notes"
"Age-adjusted rates per 100,000 U.S. standard population. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to firearm mortality include ICD-10 Codes W32-W34, Accidental discharge of firearm; Codes X72-X74, Intentional self-harm by firearm; X93-X95, Assault by firearm; Y22-Y24, Firearm discharge, undetermined intent; and Y35.0, Legal intervention involving firearm discharge. Deaths from injury by firearms exclude deaths due to explosives and other causes indirectly related to firearms."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2017 on [CDC WONDER Online Database](http://wonder.cdc.gov/), released 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on February 8, 2019."


