"Title: Number of Deaths Due to Injury by Firearms per 100,000 Population | The Henry J. Kaiser Family Foundation"
"Timeframe: 2001"
"Location","Firearms Death Rate per 100,000"
"United States","10.3"
"Alabama","16.4"
"Alaska","14.9"
"Arizona","16"
"Arkansas","15.3"
"California","9.4"
"Colorado","11.7"
"Connecticut","5.6"
"Delaware","9.5"
"District of Columbia","26"
"Florida","10.7"
"Georgia","13.5"
"Hawaii","3.7"
"Idaho","13.5"
"Illinois","10.2"
"Indiana","11.9"
"Iowa","6.4"
"Kansas","9.9"
"Kentucky","12.7"
"Louisiana","17.5"
"Maine","7.2"
"Maryland","11.4"
"Massachusetts","3"
"Michigan","10.8"
"Minnesota","6.5"
"Mississippi","17.7"
"Missouri","13.1"
"Montana","17.7"
"Nebraska","8.1"
"Nevada","16.5"
"New Hampshire","7.3"
"New Jersey","4.4"
"New Mexico","15.3"
"New York","5.5"
"North Carolina","13.1"
"North Dakota","7.6"
"Ohio","9"
"Oklahoma","14"
"Oregon","10.2"
"Pennsylvania","9.5"
"Rhode Island","4.3"
"South Carolina","13.8"
"South Dakota","7.1"
"Tennessee","14.5"
"Texas","11.2"
"Utah","11"
"Vermont","8.1"
"Virginia","10.6"
"Washington","8.6"
"West Virginia","13.1"
"Wisconsin","8.7"
"Wyoming","14"

"Notes"
"Age-adjusted rates per 100,000 U.S. standard population. Since death rates are affected by the population composition of a given area, age-adjusted death rates should be used for comparisons between areas because they control for differences in population composition."
""
"Causes of death attributable to firearm mortality include ICD-10 Codes W32-W34, Accidental discharge of firearm; Codes X72-X74, Intentional self-harm by firearm; X93-X95, Assault by firearm; Y22-Y24, Firearm discharge, undetermined intent; and Y35.0, Legal intervention involving firearm discharge. Deaths from injury by firearms exclude deaths due to explosives and other causes indirectly related to firearms."

"Sources"
"Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death 1999-2017 on [CDC WONDER Online Database](http://wonder.cdc.gov/), released 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on February 8, 2019."


